obs_ID,study_ID,year_pub,es,var
obs001,"Stevenson PR, Castellanos MC, Pizarro JC, Garavito M",2002,-0.7376,0.0145
obs002,"Benitez-Malvido J, Gonz??lez-Di Pierro AM, Lombera R, Guill??n S & Estrada A",2014,0.4249,0.0494
obs003,"Lapenta MJ, Proc??pio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.",2008,-1.3863,0.0084
obs004,Stevenson PR,2000,0.4055,0.0241
obs005,"Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG",2009,-0.1769,0.0118
obs006,"Stevenson PR, Castellanos MC, Pizarro JC, Garavito M",2002,-0.1671,0.0006
obs007,"Benitez-Malvido J, Gonz??lez-Di Pierro AM, Lombera R, Guill??n S & Estrada A",2014,0.6961,0.0432
obs008,"Lapenta MJ, Proc??pio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.",2008,-0.6931,0.0078
obs009,"Lapenta MJ, Proc??pio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.",2008,-0.5596,0.0083
obs010,"Lapenta MJ, Proc??pio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.",2008,-0.2231,0.0051
obs011,Moraes PLR,1992,-1.0116,0.0007
obs012,Bravo SP.,2009,-0.023,0.0018
obs013,"Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG",2009,-2.5123,0.0124
obs014,"Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG",2009,-0.7246,0.0093
obs015,"Lapenta MJ, Proc??pio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.",2008,-0.3365,0.0034
obs016,"Lapenta MJ, Proc??pio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.",2008,-1.3863,0.0008
obs017,Julliot C,1996,-1.0296,0.0005
obs018,"Knogge C, Herrera ERT, Heymann EW",2003,-1.8396,
obs019,"Stevenson PR, Castellanos MC, Pizarro JC, Garavito M",2002,-0.1072,0.0013
obs020,"Knogge C, Herrera ERT, Heymann EW",2003,4.0254,10.0009
obs021,"Knogge C, Herrera ERT, Heymann EW",2003,4.1431,10.0016
obs022,"Wehncke EV, Dalling JW ",2005,0.1671,0.0021
obs023,Valenta K & Fedigan LM,2009,-0.4249,0.0001
obs024,"Lapenta MJ, Proc??pio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.",2008,-0.8267,0.002
obs025,"Knogge C, Herrera ERT, Heymann EW",2003,-1.7918,0.0006
obs026,Moraes PLR,1992,-1.3122,0.0004
obs027,Julliot C,1996,-0.7621,0.0002
obs028,"Wehncke EV, Dalling JW ",2005,-0.1942,0.0001
obs029,Valenta K & Fedigan LM,2009,-0.1386,0.0003
obs030,"Stevenson PR, Castellanos MC, Pizarro JC, Garavito M",2002,-1.0578,0.0002
obs031,"Benitez-Malvido J, Gonz??lez-Di Pierro AM, Lombera R, Guill??n S & Estrada A",2014,0.1411,0.004
obs032,"Stevenson PR, Castellanos MC, Pizarro JC, Garavito M",2002,-0.156,0.0005
obs033,"Stevenson PR, Castellanos MC, Pizarro JC, Garavito M",2002,-0.3275,0.0002
obs034,"Knogge C, Herrera ERT, Heymann EW",2003,-1.889,
obs035,Julliot C,1996,0.1703,0.0003
obs036,"Stevenson PR, Castellanos MC, Pizarro JC, Garavito M",2002,-0.0113,0.0008
obs037,"Stevenson PR, Castellanos MC, Pizarro JC, Garavito M",2002,-0.4601,0.0001
obs038,"Lapenta MJ, Proc??pio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.",2008,-0.7472,0.0011
obs039,Martins MM,2006,-0.8473,0.0003
obs040,"Knogge C, Herrera ERT, Heymann EW",2003,-1.7037,0.0011
obs041,"Stevenson PR, Castellanos MC, Pizarro JC, Garavito M",2002,-0.1239,0.0005
obs042,"Lapenta MJ, Proc??pio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.",2008,-2.1322,
obs043,"Stevenson PR, Castellanos MC, Pizarro JC, Garavito M",2002,0.3623,0.0007
obs044,"Stevenson PR, Castellanos MC, Pizarro JC, Garavito M",2002,-0.4749,0.0002
