obs_ID,study_ID,year_pub,es,var
obs001,Hemptinne et al. (1998),1998,1.08,0.044
obs002,Wood and Ratnieks (2004),2004,3.06,0.352
obs003,Couldridge and van Staaden (2006),2006,0.19,0.02
obs006,Tynkknyen et al. (2008),2008,2.12,0.646
obs009,Tynkknyen et al. (2008),2008,1.32,0.099
obs010,Fonseca and Revez (2002),2002,1.28,0.089
obs011,Hammack (1992),1992,2.18,0.056
obs012,Hammack (1992),1992,3.15,0.21
obs013,Hammack (1992),1992,2.67,0.31
obs014,Hammack (1992),1992,2.01,0.317
obs015,McDonald and Borden (1996),1996,0.78,0.018
obs016,Tomaru et al. (1995),1995,3.7,0.663
obs017,Noor (1996),1996,0.22,0.02
obs018,Noor (1996),1996,-0.2,0.021
obs019,Carracedo et al. (2003),2003,0.61,0.039
obs020,Coyne et al. (2002),2002,0.1,0.024
obs021,Coyne et al. (2005),2005,0.38,0.031
obs022,Coyne et al. (2005),2005,0.28,0.003
obs023,Coyne et al. (2002),2002,0.39,0.03
obs024,Coyne et al. (2005),2005,-0.25,0.031
obs025,Coyne et al. (2005),2005,0.26,0.007
obs026,South et al. (2008),2008,0.67,0.236
obs027,Doherty and Callos (1991),1991,1.86,0.629
obs028,Gray (2004),2004,0.54,0.016
obs029,Gray (2004),2004,0.53,0.017
obs030,Gray (2004),2004,0.7,0.017
obs031,Gray (2004),2004,0.34,0.045
obs032,Kasumovic and Andrade (2004),2004,0.47,0.031
obs033,Friberg et al. (2008),2008,2.32,0.669
obs034,Friberg et al. (2008),2008,0.34,0.036
obs035,Friberg et al. (2008),2008,2.08,0.673
obs036,Friberg et al. (2008),2008,-0.28,0.034
obs037,South et al. (2008),2008,-0.04,0.25
obs038,Schultz and Switzer (2001),2001,1.16,0.003
obs039,South et al. (2008),2008,0.72,0.215
obs040,Michaelidis et al. (2006),2006,0.17,0.019
obs041,South et al. (2008),2008,0.12,0.251
obs042,Tanigaki et al. (2007),2007,-4.12,0.932
obs043,Tanigaki et al. (2007),2007,-3.72,0.781
obs044,Ohguchi and Hidaka (1988),1988,0.79,0.136
obs045,Wiernasz and Kingsolver (1992),1992,0.97,0.217
obs046,Wiernasz and Kingsolver (1992),1992,0.95,0.042
obs047,Ohguchi and Hidaka (1988),1988,0.59,0.135
obs048,Heady and Denno (1991),1991,0.83,0.128
obs049,Heady and Denno (1991),1991,2.2,0.206
obs050,Heady and Denno (1991),1991,0.25,0.112
obs051,Heady and Denno (1991),1991,0.79,0.145
obs052,Roberts and Uetz (2004a),2004,0.16,0.001
obs053,Roberts and Uetz (2004a),2004,0.56,0.004
obs054,Roberts and Uetz (2004b),2004,0.15,0.001
obs055,Honda-Sum (2005),2005,0.94,0.072
obs056,Honda-Sum (2005),2005,0.56,0.046
obs057,Lee (1983),1983,1.31,0.053
obs058,Lee (1983),1983,1.55,0.184
obs059,Lee (1983),1983,2.09,0.073
obs060,Lee (1983),1983,2.13,0.04
obs061,Detto et al. (2006),2006,0.32,0.011
obs062,Rosenfield and Kodric-Brown (2003),2003,-0.43,0.057
obs063,Leiser (2003),2003,0.88,0.026
obs064,Leiser (2003),2003,0.17,0.016
obs065,Rosenfield and Kodric-Brown (2003),2003,0.48,0.058
obs066,Rafferty and Boughman (2006),2006,0.33,0.155
obs067,Basolo (2002),2002,0.86,0.137
obs068,Gumm and Gabor (2005),2005,-0.41,0.044
obs069,Gumm and Gabor (2005),2005,0.37,0.04
obs070,Ptacek (1998),1998,-2.89,0.19
obs071,Ptacek (1998),1998,0.84,0.046
obs072,Plath et al. (2008),2008,-0.4,0.051
obs073,Ptacek (1998),1998,0.68,0.089
obs074,Ptacek (1998),1998,0.18,0.042
obs075,Riesch et al. (2006),2006,0.22,0.04
obs076,Riesch et al. (2006),2006,0.65,0.082
obs077,Riesch et al. (2006),2006,-0.02,0.067
obs078,Riesch et al. (2006),2006,0.02,0.133
obs079,Ptacek (1998),1998,0.38,0.1
obs080,Kozak et al. (2008),2008,0.76,0.046
obs081,Kozak et al. (2008),2008,0.33,0.045
obs082,Kozak et al. (2008),2008,0.63,0.047
obs083,Kozak et al. (2008),2008,0.95,0.047
obs084,Knight and Turner (1999),1999,2.59,0.111
obs085,Couldridge and Alexander (2002),2002,2.21,0.076
obs086,Couldridge and Alexander (2002),2002,1.52,0.058
obs087,Couldridge and Alexander (2002),2002,1.69,0.062
obs088,Couldridge and Alexander (2002),2002,1.13,0.053
obs089,Knight and Turner (1999),1999,1.12,0.101
obs090,Knight and Turner (1999),1999,1.05,0.086
obs091,Wong and Rosenthal (2006),2006,1.47,0.071
obs092,Wong and Rosenthal (2006),2006,0.29,0.135
obs093,Wong et al. (2005),2005,-0.99,0.151
obs094,Wong et al. (2005),2005,1.99,0.204
obs095,McLennan and Ryan (2008),2008,-1.31,0.102
obs096,McLennan and Ryan (1999),1999,1.38,0.029
obs098,Crapon de Caprona and Ryan (1990),1990,6.41,0.382
obs099,McLennan and Ryan (1999),1999,2.08,0.04
obs100,Crapon de Caprona and Ryan (1990),1990,3.21,0.185
obs101,Crapon de Caprona and Ryan (1990),1990,-0.63,0.132
obs102,Hankison and Morris (2003),2003,1.31,0.164
